basis size,Energy,delta(r_1),drach_delta(r_1),delta(r_12),drach_delta(r_12),MV,drach_MV,r_1,r_12,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r^2_1,r^2_12,SO1,SO2
250,-37.8382675495752,21.01235466289333,21.21931832584391,0.4492336669229346,0.4424020190944513,-1474.061110880571,-1484.972042544303,1.184583266139093,1.932476564438558,23.10869592687013,1.945547009114913,2.450167626183405,0.8351152017493244,2.270485852361193,4.865913404706543,2.4725890938227044,-1.2827977776440236
500,-37.84140848136947,21.08861337196895,21.22417043401343,0.4469206581184972,0.4424947664259778,-1477.426398319683,-1485.406414853292,1.18657644566556,1.936446934884386,23.11374736963099,1.94405973271904,2.450070985276578,0.8345935703732013,2.284924152469069,4.894988712097776,2.471036334755208,-1.2797418495932953
1000,-37.84259797077867,21.15979312846291,21.2257145740127,0.4451951953513726,0.4425638841493935,-1481.48492382589,-1485.544081497761,1.187403861815504,1.938127115509156,23.11544640664421,1.943248322194941,2.450025719624391,0.8343653175164725,2.291248139099311,4.907735994602782,2.4704350637973214,-1.2772348357865335
2000,-37.84302483824424,21.19309887424034,21.22634066425391,0.4438555731387787,0.4425938878664437,-1483.422282325222,-1485.550083485776,1.187728236781273,1.938791790574049,23.1161218197579,1.942892412618666,2.450005495755666,0.8342718493850059,2.293731234624975,4.912731236895566,2.4696001922442905,-1.2762532416552503
3000,-37.84311016275838,21.19829078831725,21.22648624869367,0.4435262013545973,0.4426000895346017,-1483.56647825137,-1485.556877156802,1.187805802023759,1.938950823777549,23.11627634508959,1.94281039188787,2.449999780060705,0.8342498051978315,2.294333781088907,4.913944092473118,2.4694401278353246,-1.2761298676406347
4000,-37.8431397543071,21.20234856877453,21.22654386443496,0.4432031261947521,0.4426038638951648,-1483.815555159895,-1485.554052581141,1.187837608318621,1.939015870195625,23.11633632601864,1.9427734626301,2.449997128747786,0.8342407438557832,2.294580499483387,4.914443705278227,2.469409009550214,-1.276010608634135
5000,-37.84315760421353,21.20380331639747,21.22656726752872,0.4430123271858133,0.4426054429110705,-1483.866767801928,-1485.54770444304,1.187852338684614,1.939046886823312,23.11636282965634,1.942756158844029,2.449995935994735,0.8342361540675121,2.294693875604916,4.914672063152865,2.469347829161851,-1.2759659827415704
6000,-37.84316821056836,21.21335725457757,21.22659594256308,0.4429782413990637,0.44260652617408,-1484.397455444023,-1485.553638513871,1.18785989744227,1.939063032926309,23.11639166365027,1.94274652589803,2.44999565242243,0.834233915099894,2.294756928180341,4.914797825714564,2.4693199520092604,-1.2759227034226082
7000,-37.84317495616676,21.21391051534016,21.22660425575345,0.4429627948326612,0.4426072172975118,-1484.43265924533,-1485.550512702035,1.187865013919815,1.939074040775118,23.11640173653927,1.942740615124859,2.449995371574325,0.8342323421153507,2.294798539573093,4.914882367197799,2.469300281297136,-1.275908386824517
8000,-37.84317931541952,21.21896363697304,21.22661336419841,0.4428876219761643,0.4426076533012553,-1484.771824111625,-1485.551718697027,1.187868689555937,1.939081828729033,23.11641108236186,1.942735927911678,2.449995091211396,0.8342312138416867,2.294827581908548,4.91494095194223,2.469284326859949,-1.2758935637576734
9000,-37.84318230421172,21.22036534481907,21.22661990703869,0.4428085614917133,0.4426080260205284,-1484.823827012892,-1485.55334268834,1.187871075224447,1.939086935274518,23.11641806421948,1.94273279070688,2.449994994514883,0.8342305181858741,2.294847285782323,4.914980639792104,2.469279728344356,-1.2758821539782563
10000,-37.84318445259641,21.22055529042615,21.22662286819205,0.4427983528524858,0.4426082982679335,-1484.831492027101,-1485.555684072105,1.187872333429304,1.939089701985123,23.1164217226584,1.942730817320612,2.44999497768877,0.8342301063563589,2.294857919373394,4.915001233138757,2.469274470587151,-1.2758721838173377
